Province,Political Party,Seats
Alberta,Conservative,34
Alberta,Liberal,2
Alberta,NDP-New Democratic Party,1
British Columbia,Liberal,20
British Columbia,Conservative,19
British Columbia,NDP-New Democratic Party,3
British Columbia,Green Party,1
Manitoba,Conservative,7
Manitoba,Liberal,6
Manitoba,NDP-New Democratic Party,1
New Brunswick,Liberal,6
New Brunswick,Conservative,4
Newfoundland and Labrador,Liberal,4
Newfoundland and Labrador,Conservative,3
Northwest Territories,Liberal,1
Nova Scotia,Liberal,10
Nova Scotia,Conservative,1
Nunavut,NDP-New Democratic Party,1
Ontario,Liberal,70
Ontario,Conservative,52
Prince Edward Island,Liberal,4
Quebec,Liberal,44
Quebec,Bloc Québécois,22
Quebec,Conservative,11
Quebec,NDP-New Democratic Party,1
Saskatchewan,Conservative,13
Saskatchewan,Liberal,1
Yukon,Liberal,1
